KEY,ORIGINAL ADDRESS,VALIDATION RESULT,SUGGESTED ADDRESS,INVALID STREET NUMBER/ADDRESS,SIMILARITY RATIO,SIMILARITY LEVEL,SUGGESTED COORDINATES,SUGGESTED PLACE ID,SUGGESTED DPID,CONVERTED_BACK_TO_ORIGINAL_SYD_PAS_SPLIT,CONVERTED_BACK_TO_ORIGINAL_SF,CONVERTED_BACK_TO_ORIGINAL_CMDM,CONVERTED_BACK_TO_ORIGINAL_MINERVA,COLUMN NAME KEY,COLUMN NAME VALUE,GUID,NAMESPACE,SOURCE SYSTEM,SOURCE DATA,SOURCE METADATA,INSTANT MODE,API SERVICE,NOTE
THE_VINES_GOLF_CLUB,"750 The Vines Dr, Eynesbury VIC 3139, Australia",Invalid,"Eynesbury VIC 3338, Australia",True,71,"Similar, with some differences",{-37.7930182: 144.5570412},ChIJLQUEcCSR1moRgPiMIXVWBAU,TBD,invalid_street_address,invalid_street_address,invalid_street_address,invalid_street_address,['KEY'],['key'],c99874f9-69cb-4ff1-bbd8-528759bbc68d,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
VICTORIA_GOLF_CLUB,"133 Victoria St, Albert Pork VIC 3206, Australia",Invalid,"Middle Park VIC 3206, Australia",True,68,"Somewhat similar, with significant differences",{-37.8460268: 144.9584302},ChIJ7W2p5Ohn1moRsDkuRnhWBBw,TBD,invalid_street_address,invalid_street_address,invalid_street_address,invalid_street_address,['KEY'],['key'],916cee52-fecd-427a-838d-eb4da96ec7c5,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
COMMONWEALTH_GOLF_CLUB,"180 Comonwealth Ave, Malvern VIC 3144, Australia",Invalid,"Malvern VIC 3144, Australia",True,72,"Similar, with some differences",{-37.852403: 145.0357348},ChIJFc4iKARC1moRMNqMIXVWBAU,TBD,invalid_street_address,invalid_street_address,invalid_street_address,invalid_street_address,['KEY'],['key'],989c4735-5e96-48bc-93d0-63be9b29d6e6,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
PENINSULA_GOLF_CLUB,"137 Jacksons Rd, MorXXnington VIC 3931, Australia",Invalid,"Mornington VIC 3931, Australia",True,76,"Similar, with some differences",{-38.2277083: 145.0603633},ChIJ1SHQ67re1WoRAEcuRnhWBBw,TBD,invalid_street_address,invalid_street_address,invalid_street_address,invalid_street_address,['KEY'],['key'],0ef8af92-3f7f-4fef-9f7e-08a47cb4f703,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
SORRENTO_GOLF_CLUB,"112 Hotham Rd, Sorrento VIC 3934, Australia",Valid,"112 Hotham Rd, Sorrento VIC 3943, Australia",False,98,Identical,{-38.3349449: 144.7326737},ChIJx_I8Spo11GoR7QQRdGVDD5Y,TBD,"{'address_line_1': '112 Hotham Rd, Sorrento', 'address_line_2': 'VIC 3943, Australia'}","{'street': ' 112  Hotham Road', 'suburb': 'Sorrento', 'city': 'Shire of Mornington Peninsula', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3943'}","{'street number': '112', 'street': 'Hotham Road', 'suburb': 'Sorrento', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3943'}","{'line1': '112', 'line2': 'Hotham Road', 'suburb': 'Sorrento', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3943'}",['KEY'],['key'],c9277218-1bc8-46e4-83c4-8ede5d6ef8f0,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
THE_AUSTRALIAN_GOLF_CLUB_DOSE_PENINSULA,"282 Nepean Hwy, DromaXna VIC 3901, Australia",Invalid,"282 Nepean Hwy, Dromana VIC 3936, Australia",False,94,Identical,{-38.3134479: 145.022894},EisyODIgTmVwZWFuIEh3eSwgRHJvbWFuYSBWSUMgMzkzNiwgQXVzdHJhbGlhIjESLwoUChIJbTMu1sPE1WoRSAJ6CcS2sl4QmgIqFAoSCWu7gilN39VqEfwCBDgGIJtD,TBD,"{'address_line_1': '282 Nepean Hwy, Dromana', 'address_line_2': 'VIC 3936, Australia'}","{'street': ' 282  Nepean Highway', 'suburb': 'Dromana', 'city': 'Shire of Mornington Peninsula', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3936'}","{'street number': '282', 'street': 'Nepean Highway', 'suburb': 'Dromana', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3936'}","{'line1': '282', 'line2': 'Nepean Highway', 'suburb': 'Dromana', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3936'}",['KEY'],['key'],c202f007-be95-4ac3-bb2e-57a4fff534c4,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
NORTH_SYDNEY_GOLF_CLUB,"259 Pacific Hwy, North Sydney NSW 2060, Australia",Valid,"259 Pacific Hwy, North Sydney NSW 2060, Australia",False,100,Identical,{-33.8341029: 151.2050989},ChIJ2Z4wLuyuEmsRWZiKKPpxVjA,TBD,"{'address_line_1': '259 Pacific Hwy, North', 'address_line_2': 'Sydney NSW 2060, Australia'}","{'street': ' 259  Pacific Highway', 'suburb': 'North Sydney', 'city': 'North Sydney Council', 'state': 'New South Wales', 'country': 'Australia', 'post_code': '2060'}","{'street number': '259', 'street': 'Pacific Highway', 'suburb': 'North Sydney', 'state': 'New South Wales', 'country': 'Australia', 'post_code': '2060'}","{'line1': '259', 'line2': 'Pacific Highway', 'suburb': 'North Sydney', 'state': 'New South Wales', 'country': 'Australia', 'post_code': '2060'}",['KEY'],['key'],a3dea803-652c-4390-9c61-51773abb0607,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
ROYAL_HOBART_GOLF_CLUB,"40 Sanddy Bay Rd, Sandy Bay TAS 79005, Australia",Invalid,"Sandy Bay TAS 7005, Australia",True,76,"Similar, with some differences",{-42.9020551: 147.3253086},ChIJnaLamvZ1bqoRwBfe0E3JAwU,TBD,invalid_street_address,invalid_street_address,invalid_street_address,invalid_street_address,['KEY'],['key'],cac69ead-c6c6-408c-aced-c8614c9c611f,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
ROYAL_FREMANTLE_GOLF_CLUB,"271 Carrington St, Fremantle WA 6160, Australia",Valid,"271 Carrington St, Beaconsfield WA 6162, Australia",False,84,"Very similar, with only minor differences",{-32.0709601: 115.7787547},EjIyNzEgQ2FycmluZ3RvbiBTdCwgQmVhY29uc2ZpZWxkIFdBIDYxNjIsIEF1c3RyYWxpYSIxEi8KFAoSCWe57mA4ojIqESbRre3Qin64EI8CKhQKEglpcDVLNKIyKhGvhQCBM48t_A,TBD,"{'address_line_1': '271 Carrington St,', 'address_line_2': 'Beaconsfield WA 6162, Australia'}","{'street': ' 271  Carrington Street', 'suburb': 'Beaconsfield', 'city': 'City of Fremantle', 'state': 'Western Australia', 'country': 'Australia', 'post_code': '6162'}","{'street number': '271', 'street': 'Carrington Street', 'suburb': 'Beaconsfield', 'state': 'Western Australia', 'country': 'Australia', 'post_code': '6162'}","{'line1': '271', 'line2': 'Carrington Street', 'suburb': 'Beaconsfield', 'state': 'Western Australia', 'country': 'Australia', 'post_code': '6162'}",['KEY'],['key'],ec78f40d-341c-45dc-ae71-eeff059f4cf1,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
ROYAL_PERTH_GOLF_CLUB,"44 Burt St, Victoria Park WA 6100, Australia",Invalid,"44 Burt St, North Perth WA 6006, Australia",False,80,"Very similar, with only minor differences",{-31.92994479999999: 115.8616559},ChIJE4BvGLe6MioR4DFS354113I,TBD,"{'address_line_1': '44 Burt St, North Perth', 'address_line_2': 'WA 6006, Australia'}","{'street': ' 44  Burt Street', 'suburb': 'North Perth', 'city': 'City of Vincent', 'state': 'Western Australia', 'country': 'Australia', 'post_code': '6006'}","{'street number': '44', 'street': 'Burt Street', 'suburb': 'North Perth', 'state': 'Western Australia', 'country': 'Australia', 'post_code': '6006'}","{'line1': '44', 'line2': 'Burt Street', 'suburb': 'North Perth', 'state': 'Western Australia', 'country': 'Australia', 'post_code': '6006'}",['KEY'],['key'],6775d1d2-9e71-4a1f-8563-41fc9d7f33d0,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
JOONDALUP_RESORT_GOLF_COURSE,"30 GuildXXerton Rd, Joondalup WA 6027, Australia",Invalid,"Joondalup WA 6027, Australia",True,74,"Similar, with some differences",{-31.74033249999999: 115.7699821},ChIJSQKSbWhTzSsRoEffNbXwBAU,TBD,invalid_street_address,invalid_street_address,invalid_street_address,invalid_street_address,['KEY'],['key'],424f94cd-a90e-402e-ab1a-8da4be007797,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
LAKE_KARRINYUP_COUNTRY_CLUB,"400 Karrinyup Rd, Karrinyup WA 6018, Australia",Valid,"400 Karrinyup Rd, Gwelup WA 6018, Australia",False,87,"Very similar, with only minor differences",{-31.8822959: 115.7871771},Eis0MDAgS2FycmlueXVwIFJkLCBHd2VsdXAgV0EgNjAxOCwgQXVzdHJhbGlhIjESLwoUChIJ0UL5W-GuMioRlMniK95dbFEQkAMqFAoSCYWveRLjrjIqEWAMnE4uWHyl,TBD,"{'address_line_1': '400 Karrinyup Rd, Gwelup ', 'address_line_2': 'WA 60'}","{'street': ' 400  Karrinyup Road', 'suburb': 'Gwelup', 'city': 'City of Stirling', 'state': 'Western Australia', 'country': 'Australia', 'post_code': '6018'}","{'street number': '400', 'street': 'Karrinyup Road', 'suburb': 'Gwelup', 'state': 'Western Australia', 'country': 'Australia', 'post_code': '6018'}","{'line1': '400', 'line2': 'Karrinyup Road', 'suburb': 'Gwelup', 'state': 'Western Australia', 'country': 'Australia', 'post_code': '6018'}",['KEY'],['key'],808bf7de-a944-4157-8998-11a078213226,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
THE_NATIONAL_GOLF_CLUB,"115 Cape Schanck Rd, Cape Schanck VIC 3926, Australia",Valid,"115 Cape Schanck Rd, Cape Schanck VIC 3939, Australia",False,96,Identical,{-38.4683324: 144.8984173},ChIJtWUtMca21WoRKdR-AnB8NmY,TBD,Invalid PAS CLIENT address: length [53] of single line is bigger than 50,"{'street': ' 115  Cape Schanck Road', 'suburb': 'Cape Schanck', 'city': 'Shire of Mornington Peninsula', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3939'}","{'street number': '115', 'street': 'Cape Schanck Road', 'suburb': 'Cape Schanck', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3939'}","{'line1': '115', 'line2': 'Cape Schanck Road', 'suburb': 'Cape Schanck', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3939'}",['KEY'],['key'],b2320b26-529c-49c3-a1cb-b43c289300ed,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
CAPE_SCHANCK_GOLF_COURSE,"130 Cape Schanck Rd, Cape Schanck TAZ 3926, Australia",Invalid,"130 Cape Schanck Rd, Cape Schanck VIC 3939, Australia",False,90,Identical,{-38.4692577: 144.8960529},ChIJOWQvEci21WoROcintd9TodM,TBD,Invalid PAS CLIENT address: length [53] of single line is bigger than 50,"{'street': ' 130  Cape Schanck Road', 'suburb': 'Cape Schanck', 'city': 'Shire of Mornington Peninsula', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3939'}","{'street number': '130', 'street': 'Cape Schanck Road', 'suburb': 'Cape Schanck', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3939'}","{'line1': '130', 'line2': 'Cape Schanck Road', 'suburb': 'Cape Schanck', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3939'}",['KEY'],['key'],25b3c2f1-caec-491c-91fe-03a9b6b7b953,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
ST_ANDREWS_BEACH_GOLF_COURSE,"270 St Andrews Beach Rd, St Andrews Beach VIC 3926, Australia",Invalid,"St Andrews Beach VIC 3941, Australia",True,70,"Similar, with some differences",{-38.4144794: 144.8237955},ChIJSZU4iXG11WoRba8n-c4cePQ,TBD,invalid_street_address,invalid_street_address,invalid_street_address,invalid_street_address,['KEY'],['key'],ed73007e-20f1-46b5-bd70-0748bdc6a451,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
MOONAH_LINKS_GOLF_COURSE,"557 Purves Rd, Rye VIC 3941, Australia",Invalid,"557 Purves Rd, Main Ridge VIC 3928, Australia",False,84,"Very similar, with only minor differences",{-38.4008119: 144.9532721},Ei01NTcgUHVydmVzIFJkLCBNYWluIFJpZGdlIFZJQyAzOTI4LCBBdXN0cmFsaWEiMRIvChQKEglTwJdmccjVahHCkw1DqCScghCtBCoUChIJD3YXwYTI1WoR1GIlv-Tk4xA,TBD,"{'address_line_1': '557 Purves Rd, Main Ridge', 'address_line_2': 'VIC 3928, Australia'}","{'street': ' 557  Purves Road', 'suburb': 'Main Ridge', 'city': 'Shire of Mornington Peninsula', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3928'}","{'street number': '557', 'street': 'Purves Road', 'suburb': 'Main Ridge', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3928'}","{'line1': '557', 'line2': 'Purves Road', 'suburb': 'Main Ridge', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3928'}",['KEY'],['key'],db4c4862-cbef-44fe-a08d-e3d61c0e4212,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
CAPE_WICKHAM_GOLF_COURSE,"100 Cape Wickham Rd, Flinders Island TAS 7255, Australia",Invalid,"Flinders Island, Tasmania, Australia",True,66,"Somewhat similar, with significant differences",{-39.9836386: 148.052689},ChIJrWmDb-1qLWsRYK9RtE7JAw8,TBD,invalid_street_address,invalid_street_address,invalid_street_address,invalid_street_address,['KEY'],['key'],b053d2d2-ce30-44d3-9061-d8468eb14818,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
KING_ISLAND_GOLF_COURSE,"118 Adams Rd, King Island TAS 7256, Australia",Valid,"118 Adams Rd, Loorana TAS 7256, Australia",False,85,"Very similar, with only minor differences",{-39.901495: 143.951616},EikxMTggQWRhbXMgUmQsIExvb3JhbmEgVEFTIDcyNTYsIEF1c3RyYWxpYSIwEi4KFAoSCY0D_Peh3oCqESDgbLxNyQMTEHYqFAoSCY0D_Peh3oCqEW-93M9t4q2i,TBD,"{'address_line_1': '118 Adams Rd, Loorana TAS', 'address_line_2': '7256, Australia'}","{'street': ' 118  Adams Road', 'suburb': 'Loorana', 'city': 'King Island Council', 'state': 'Tasmania', 'country': 'Australia', 'post_code': '7256'}","{'street number': '118', 'street': 'Adams Road', 'suburb': 'Loorana', 'state': 'Tasmania', 'country': 'Australia', 'post_code': '7256'}","{'line1': '118', 'line2': 'Adams Road', 'suburb': 'Loorana', 'state': 'Tasmania', 'country': 'Australia', 'post_code': '7256'}",['KEY'],['key'],0269c14e-1604-4515-bf77-1ea128bd1e31,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
THE_DUNES_GOLF_CLUB,"154 Flinders Island Rd, King Island NSW 7256, Australia",Invalid,"New South Wales, Australia",True,44,Different,{-31.2532183: 146.921099},ChIJDUte93TLDWsRLZ_EIhGvgBc,TBD,invalid_street_address,invalid_street_address,invalid_street_address,invalid_street_address,['KEY'],['key'],1261365a-a0bb-4b87-be00-b10bcdd60062,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
BARNBOUGLE_DUNES_GOLF_COURSE,"55 The Nack, Bridport TAS 7282, Australia",Invalid,"Bridport TAS 7262, Australia",True,79,"Similar, with some differences",{-41.0007905: 147.3904041},ChIJnxyBbc-3eaoR0Ojd0E3JAwQ,TBD,invalid_street_address,invalid_street_address,invalid_street_address,invalid_street_address,['KEY'],['key'],5268e07f-1c0b-4a5d-ac60-41baeb60dd0b,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
TASMANIA_GOLF_CLUB,"100 Tasman Hwy, New Norfolk TAS 7170, Australia",Invalid,"100 Tasman Hwy, Sorell TAS 7172, Australia",False,85,"Very similar, with only minor differences",{-42.7917744: 147.557028},EioxMDAgVGFzbWFuIEh3eSwgU29yZWxsIFRBUyA3MTcyLCBBdXN0cmFsaWEiMBIuChQKEgnlR1VaoONtqhGgDWq8TckDExBkKhQKEgnLcPbh7Eh3qhEa-oM6fIKICA,TBD,"{'address_line_1': '100 Tasman Hwy, Sorell', 'address_line_2': 'TAS 7172, Australia'}","{'street': ' 100  Tasman Highway', 'suburb': 'Sorell', 'city': 'Sorell Council', 'state': 'Tasmania', 'country': 'Australia', 'post_code': '7172'}","{'street number': '100', 'street': 'Tasman Highway', 'suburb': 'Sorell', 'state': 'Tasmania', 'country': 'Australia', 'post_code': '7172'}","{'line1': '100', 'line2': 'Tasman Highway', 'suburb': 'Sorell', 'state': 'Tasmania', 'country': 'Australia', 'post_code': '7172'}",['KEY'],['key'],4abf3b52-a269-46d7-be09-c25194f3b390,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
ROYAL_HOBART_GOLF_CLUB,"40 Sandy Bay Rd, Sandy Bay TAS 7005, Australia",Valid,"40 Sandy Bay Rd, Battery Point TAS 7004, Australia",False,80,"Very similar, with only minor differences",{-42.8885275: 147.3303142},ChIJO2Fzq4l1bqoRXzSHM21s7WI,TBD,"{'address_line_1': '40 Sandy Bay Rd, Battery ', 'address_line_2': 'Point'}","{'street': ' 40  Sandy Bay Road', 'suburb': 'Battery Point', 'city': 'City of Hobart', 'state': 'Tasmania', 'country': 'Australia', 'post_code': '7004'}","{'street number': '40', 'street': 'Sandy Bay Road', 'suburb': 'Battery Point', 'state': 'Tasmania', 'country': 'Australia', 'post_code': '7004'}","{'line1': '40', 'line2': 'Sandy Bay Road', 'suburb': 'Battery Point', 'state': 'Tasmania', 'country': 'Australia', 'post_code': '7004'}",['KEY'],['key'],72c84b55-4878-411b-8115-e3baa6bcec98,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
